company_name,Group,ticker,file_name,date,WA_sentiment,Close,D0,D-1,D+1,D-2,D+2,D-3,D+3,D-5,D+5,D-10,D+10,D-15,D+15
Admiral Group,Motor/Personal,ADM.L,20110302_Admiral_Group_PLC-_Earnings_Call_2011-3-2_SD000000002736694887.pdf,2011-03-02,-0.0205125349961822,1655.0,1655.0,-0.0310304449648711,0.0138972809667673,-0.0201302545885139,0.0151057401812688,-0.0036122817579771,-0.0006042296072507,-0.0113500597371565,-0.0030211480362537,-0.0293255131964809,-0.0604229607250755,-0.0304628002343292,-0.0453172205438066
Admiral Group,Motor/Personal,ADM.L,20110824_Admiral_Group_PLC-_Earnings_Call_2011-8-24_SD000000002736694923.pdf,2011-08-24,0.0019935054351233,1353.0,1353.0,-0.1185667752442996,-0.0546932742054693,-0.1104536489151873,-0.0258684405025868,-0.0949832775919732,-0.0059127864005912,-0.125968992248062,0.0110864745011086,-0.0314960629921259,0.008130081300813,-0.1174168297455968,-0.0288248337028824
Admiral Group,Motor/Personal,ADM.L,20111109_Admiral_Group_PLC-_Guidance_Call_2011-11-9_SD000000002870249474.pdf,2011-11-09,-0.0120262071827278,887.5,887.5,-0.2560771165129925,-0.076056338028169,-0.2478813559322034,-0.0535211267605633,-0.2516863406408094,-0.0619718309859154,-0.2349137931034483,-0.0980281690140845,-0.2766911165444173,-0.0253521126760563,-0.2755102040816326,0.0394366197183098
Admiral Group,Motor/Personal,ADM.L,20111109_Admiral_Group_PLC-_Guidance_Call_2011-11-9_SD000000002870288769.pdf,2011-11-09,-0.0003194220991477,887.5,887.5,-0.2560771165129925,-0.076056338028169,-0.2478813559322034,-0.0535211267605633,-0.2516863406408094,-0.0619718309859154,-0.2349137931034483,-0.0980281690140845,-0.2766911165444173,-0.0253521126760563,-0.2755102040816326,0.0394366197183098
Admiral Group,Motor/Personal,ADM.L,20120307_Admiral_Group_PLC-_Earnings_Call_2012-3-7_SD000000002736694971.pdf,2012-03-07,-0.031912875194475,1144.0,1144.0,0.1,0.0157342657342657,0.0957854406130268,0.0122377622377622,0.0802644003777148,0.0227272727272727,0.0622098421541318,0.0367132867132867,0.103182256509161,0.0209790209790209,0.1799896854048478,0.0148601398601398
Admiral Group,Motor/Personal,ADM.L,20120830_Admiral_Group_PLC-_Earnings_Call_2012-8-30_SD000000002736695019.pdf,2012-08-30,-0.0578866078898256,1162.0,1162.0,-0.0284280936454849,0.0206540447504302,-0.0127442650807136,-0.0103270223752151,-0.0227081581160639,-0.0447504302925989,-0.0202360876897133,-0.023235800344234,-0.0169204737732656,-0.059380378657487,-0.0051369863013698,-0.067986230636833
Admiral Group,Motor/Personal,ADM.L,20130306_Admiral_Group_PLC-_Earnings_Call_2013-3-6_SD000000002736695055.pdf,2013-03-06,-0.0327443630666856,1334.0,1334.0,0.0528808208366219,0.0164917541229385,0.0454545454545454,0.0142428785607196,0.0697674418604651,0.0187406296851574,0.0663469224620303,0.0067466266866566,0.0333075135553834,-0.0014992503748125,0.0446358653093187,-0.0089955022488755
Admiral Group,Motor/Personal,ADM.L,20130829_Admiral_Group_PLC-_Earnings_Call_2013-8-29_SD000000002736695103.pdf,2013-08-29,-0.0250722586560886,1270.0,1270.0,-0.0155038759689922,-0.0070866141732283,-0.0200617283950617,-0.0031496062992125,-0.0193050193050193,-0.0039370078740157,-0.0185471406491499,-0.0078740157480314,0.0023677979479084,-0.037007874015748,0.0039525691699604,-0.0409448818897637
Admiral Group,Motor/Personal,ADM.L,20140305_Admiral_Group_PLC-_Earnings_Call_2014-3-5_SD000000002736695151.pdf,2014-03-05,-0.0516719772698514,1526.0,1526.0,0.0754052149400986,-0.0032765399737876,0.0769230769230769,-0.019659239842726,0.0634146341463414,-0.0170380078636959,0.0538674033149171,-0.0072083879423328,0.0359809911744738,-0.0262123197903014,0.0538674033149171,-0.0399737876802097
Admiral Group,Motor/Personal,ADM.L,20140813_Admiral_Group_PLC-_Earnings_Call_2014-8-13_SD000000002845804089.pdf,2014-08-13,-0.0310223689155405,1371.0,1371.0,-0.0544827586206896,-0.0299051787016776,-0.0551343900758097,-0.0277169948942377,-0.0439330543933054,-0.0269876002917578,-0.0531767955801105,-0.0350109409190372,-0.0622435020519835,-0.0233406272793581,-0.1097402597402597,-0.0649161196207148
Admiral Group,Motor/Personal,ADM.L,20150305_Admiral_Group_PLC-_Earnings_Call_2015-3-5_FS000000002425895293.pdf,2015-03-05,-0.0296530977342914,1514.0,1514.0,0.0376970527758738,0.0006605019815059,0.0348598769651401,0.0026420079260237,0.0257452574525745,-0.0429326287978863,0.0306330837304288,-0.0191545574636723,0.036986301369863,0.0026420079260237,0.0278343516632722,0.0165125495376486
Admiral Group,Motor/Personal,ADM.L,20150819_Admiral_Group_PLC-_Earnings_Call_2015-8-19_FS000000002226829522.pdf,2015-08-19,-0.0339240172368305,1522.0,1522.0,0.0381991814461118,0.0427069645203679,0.0346702923181509,0.0256241787122207,0.0569444444444444,-0.0111695137976346,0.0621074668527564,-0.0105124835742444,0.0106241699867197,0.0243101182654402,0.0207914151576123,0.0118265440210249
Admiral Group,Motor/Personal,ADM.L,20160303_Admiral_Group_PLC-_Earnings_Call_2016-3-3_FS000000002257977494.pdf,2016-03-03,-0.0185020665147359,1919.0,1919.0,0.0903409090909091,0.0130276185513288,0.086021505376344,0.0234497133923918,0.1079676674364896,0.0244919228764981,0.1028735632183908,-0.0109431995831162,0.0984544934172867,-0.0020844189682126,0.1525525525525525,-0.0099009900990099
Admiral Group,Motor/Personal,ADM.L,20160817_Admiral_Group_PLC-_Earnings_Call_2016-8-17_FS000000002425895173.pdf,2016-08-17,-0.0201028488300072,2081.0,2081.0,-0.0767524401064773,0.024026910139356,-0.0792035398230088,0.0235463719365689,-0.0730512249443207,0.0206631427198462,-0.074288256227758,0.0024026910139356,-0.0427782888684452,-0.0153772224891878,-0.0293843283582089,-0.0336376741950985
